Sample_ID,Name,Latitude,Longitude,Elevation (m),Location
1,Chejche,-18.003119,-70.260472,552,Tacna
2,Piesala_Misturita,-17.47553974,-70.03140977,"2,766",Tarata
3,Maiz_Amarillo,-17.47553974,-70.03140977,"2,766",Tarata
4,Morado,-17.47553974,-70.03140977,"2,766",Tarata
5,Maiz_Ceniza,-17.467222,-70.035085,"2,766",Tarata
6,Maiz_Ceniza,-17.467222,-70.035085,"2,766",Tarata
7,Maiz_Ceniza,-17.467222,-70.035085,"2,766",Tarata
8,Piesala_Misturita,-17.467222,-70.035085,"2,766",Tarata
9,Piesala_Misturita,-17.467222,-70.035085,"2,766",Tarata
10,Piesala_Misturita,-17.467222,-70.035085,"2,766",Tarata
11,Chicha_Amarillo,-17.47553974,-70.03140977,"2,766",Tarata
12,Chullpi,-17.47553974,-70.03140977,"2,766",Tarata
13,Blanco,-17.47553974,-70.03140977,"2,766",Tarata
14,Pachia_Amarillo,-17.9153729,-70.1671192,"1,090",Pachia
15,Chullpi,-17.778005,-70.39181,900,Paquio
16,Tostado,-17.778005,-70.39181,900,Paquio
17,Pachia,-17.778005,-70.39181,900,Paquio
18,Morado,-17.18912563,-70.93364863,"1,410",Moquegua
19,Plomo,-17.04940971,-70.83632466,"2,195",Torata
20,NA,-17.04940971,-70.83632466,"2,195",Torata
21,NA,-16.38491336,-70.72948722,"3,625",Chojata
22,Cheqchelo,-16.46653677,-70.71770789,"2,321",Santiago de Pachas
23,Cabanita,-16.46653677,-70.71770789,"2,321",Santiago de Pachas
24,NA,-17.2583878,-70.25150659,"3,415",Candarve
25,NA,-16.39352566,-71.53813786,"2,335",Arequipa
26,Blanco Grande,-16.39352566,-71.53813786,"2,335",Arequipa
27,Blanco Pequeno,-16.39352566,-71.53813786,"2,335",Arequipa
28,NA,-16.39352566,-71.53813786,"2,335",Arequipa
29,NA,-16.3098429,-70.6933053,"2,985",Carumas
30,Morado,-16.8081252,-70.6950859,"2,985",Carumas
31,Morado,-16.8081252,-70.6950859,"2,335",Arequipa
32,NA,-16.3098429,-70.6933053,"2,985",Carumas
33,Blanco,-16.8081252,-70.6950859,"2,985",Carumas
34,Blanco,-16.8081252,-70.6950859,"2,985",Carumas
35,NA,-16.8081252,-70.6950859,"2,985",Carumas
36,NA,-16.8081252,-70.6950859,"2,985",Carumas
37,Morado,-16.8081252,-70.6950859,"2,985",Carumas
38,NA,-16.8081252,-70.6950859,"2,985",Carumas
39,NA,-16.8081252,-70.6950859,"2,985",Carumas
40,NA,-16.8081252,-70.6950859,"2,985",Carumas
41,Blanco,-16.8081252,-70.6950859,"2,985",Carumas
42,NA,-16.8081252,-70.6950859,"2,985",Carumas
43,NA,-16.8081252,-70.6950859,"2,985",Carumas
44,NA,-15.654981,-69.719979,"3,854",Amantani
45,NA,-13.3077,-72.1156,"2,870",Urubamba
46,NA,-13.3077,-72.1156,"2,870",Urubamba
47,NA,-13.3077,-72.1156,"2,870",Urubamba
48,CHULLP,-17.46666667,-70.03333333,3200,Tacna
49,CORUCA,-17.2,-70.93333333,1437,Moquegua
50,NA,-17.2,-70.93333333,1437,Moquegua
51,NA,-17.2,-70.93333333,1437,Moquegua
52,NA,-17,-71,2000,Moquegua
53,CONPUN,-15.88333333,-69.88333333,3900,Puno
54,CUZCRA,-14.86666667,-70.58333333,3900,Puno
55,CUBAAM,-12.81666667,-72.71666667,1080,Cusco
56,CHULLP,-12,-75,1800,Huancavelica
57,PERLA,-11.06666667,-77.6,130,Lima
58,MORCHI,-4.63333333,-79.71666667,2000,Piura
59,ALAZAN,-4.58333333,-80.5,80,Piura
60,ARIZON,-3.56666667,-80.46666667,80,Tumbes
61,HIAMDU,-3.56666667,-80.46666667,60,Tumbes
62,NA,-17.192736,-70.932814,-,Moquegua
63,NA,-17.192736,-70.932814,-,Moquegua
64,CHULLP,-17.46666667,-70.03333333,3100,Tacna
65,NA,-16.28333333,-69.28333333,3810,Puno
66,NA,-16.28333333,-69.28333333,3810,Puno
67,NA,-16.28333333,-69.28333333,3810,Puno
68,NA,-15.65,-69.71666667,3961,Puno
69,KULLI,-13.08333333,-76.4,380,Lima
70,SNJERO,-12.78261,-74.97266,3400,Huancavelica
