Entity ID,Acquisition Date,Publication Date,Resolution,Date Updated,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Latitude,Longitude,Display ID,
SRTM1S01W074V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"0°00'00""N","74°00'00""W","0°00'00""N","73°00'00""W","1°00'00""S","73°00'00""W","1°00'00""S","74°00'00""W",0,-74,SRTM1S01W074V3,SRTM1S01W074V3
SRTM1S01W075V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"0°00'00""N","75°00'00""W","0°00'00""N","74°00'00""W","1°00'00""S","74°00'00""W","1°00'00""S","75°00'00""W",0,-75,SRTM1S01W075V3,SRTM1S01W075V3
SRTM1S01W076V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"0°00'00""N","76°00'00""W","0°00'00""N","75°00'00""W","1°00'00""S","75°00'00""W","1°00'00""S","76°00'00""W",0,-76,SRTM1S01W076V3,SRTM1S01W076V3
SRTM1S02W072V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"1°00'00""S","72°00'00""W","1°00'00""S","71°00'00""W","2°00'00""S","71°00'00""W","2°00'00""S","72°00'00""W",-1,-72,SRTM1S02W072V3,SRTM1S02W072V3
SRTM1S02W073V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"1°00'00""S","73°00'00""W","1°00'00""S","72°00'00""W","2°00'00""S","72°00'00""W","2°00'00""S","73°00'00""W",-1,-73,SRTM1S02W073V3,SRTM1S02W073V3
SRTM1S02W074V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"1°00'00""S","74°00'00""W","1°00'00""S","73°00'00""W","2°00'00""S","73°00'00""W","2°00'00""S","74°00'00""W",-1,-74,SRTM1S02W074V3,SRTM1S02W074V3
SRTM1S02W075V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"1°00'00""S","75°00'00""W","1°00'00""S","74°00'00""W","2°00'00""S","74°00'00""W","2°00'00""S","75°00'00""W",-1,-75,SRTM1S02W075V3,SRTM1S02W075V3
SRTM1S02W076V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"1°00'00""S","76°00'00""W","1°00'00""S","75°00'00""W","2°00'00""S","75°00'00""W","2°00'00""S","76°00'00""W",-1,-76,SRTM1S02W076V3,SRTM1S02W076V3
SRTM1S02W077V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"1°00'00""S","77°00'00""W","1°00'00""S","76°00'00""W","2°00'00""S","76°00'00""W","2°00'00""S","77°00'00""W",-1,-77,SRTM1S02W077V3,SRTM1S02W077V3
SRTM1S03W071V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"2°00'00""S","71°00'00""W","2°00'00""S","70°00'00""W","3°00'00""S","70°00'00""W","3°00'00""S","71°00'00""W",-2,-71,SRTM1S03W071V3,SRTM1S03W071V3
SRTM1S03W072V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"2°00'00""S","72°00'00""W","2°00'00""S","71°00'00""W","3°00'00""S","71°00'00""W","3°00'00""S","72°00'00""W",-2,-72,SRTM1S03W072V3,SRTM1S03W072V3
SRTM1S03W073V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"2°00'00""S","73°00'00""W","2°00'00""S","72°00'00""W","3°00'00""S","72°00'00""W","3°00'00""S","73°00'00""W",-2,-73,SRTM1S03W073V3,SRTM1S03W073V3
SRTM1S03W074V3,2/11/2000 0:00,9/23/2014 0:00,1-ARC,,"2°00'00""S","74°00'00""W","2°00'00""S","73°00'00""W","3°00'00""S","73°00'00""W","3°00'00""S","74°00'00""W",-2,-74,SRTM1S03W074V3,SRTM1S03W074V3
